Ship_ID,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Ship_class,Ship_Speed,Ship_Fuel_Level,Ship_crew_count,Ship_Cargo_Weight,Ship_Humidity,Ship_Temperature,Ship_Engine_Status,Ship_activity_log,Ship_Energy_Consumption
1,0013_01,Earth,TRUE,G/3/S,TRAPPIST-1e,27,FALSE,0,0,0,0,0,Nelly Carsoning,466,452,165349,1145.2,1760,55.72,19.52,101.5,1835.05,617
2,0018_01,Earth,FALSE,F/4/S,TRAPPIST-1e,19,FALSE,0,9,0,2823,0,Lerome Peckers,457,413,162598,1207.6,1763,55.74,19.49,101.5,1811.5,617
3,0019_01,Europa,TRUE,C/0/S,55 Cancri e,31,FALSE,0,0,0,0,0,Sabih Unhearfus,424,385,153442,1199.85,1740,55.77,19.47,101.51,1745,617
4,0021_01,Europa,FALSE,C/1/S,TRAPPIST-1e,38,FALSE,0,6652,0,181,585,Meratz Caltilter,395,390,144372,1143.8,1735,55.79,19.54,101.51,1748,617
5,0023_01,Earth,FALSE,F/5/S,TRAPPIST-1e,20,FALSE,10,0,635,0,0,Brence Harperez,408,393,142107,1161.4,1605.6,55.82,19.61,101.51,1605.6,617
6,0027_01,Earth,FALSE,F/7/P,TRAPPIST-1e,31,FALSE,0,1615,263,113,60,Karlen Ricks,399,397,131877,1106.55,1478,55.85,19.67,101.51,1545,649
7,0029_01,Europa,TRUE,B/2/P,55 Cancri e,21,FALSE,0,,0,0,0,Aldah Ainserfle,402,396,134615,1126.35,1410.05,55.87,19.74,101.5,1422,617
8,0032_01,Europa,TRUE,D/0/S,TRAPPIST-1e,20,FALSE,0,0,0,0,0,Acrabi Pringry,436,421,130298,1125.1,1386.65,55.9,19.8,101.5,1386.65,649
9,0032_02,Europa,TRUE,D/0/S,55 Cancri e,23,FALSE,0,0,0,0,0,Dhena Pringry,423,409,120543,1174.95,1361,55.92,19.91,101.5,1480,649
10,0033_01,Earth,FALSE,F/7/S,55 Cancri e,24,FALSE,0,639,0,0,0,Eliana Delazarson,411,400,123335,1146.4,1470,55.95,20.02,101.5,1590,649
11,0037_01,Earth,FALSE,F/9/S,TRAPPIST-1e,19,FALSE,339,3,136,237,0,Vivia Rickson,404,397,101913,1190.3,1605,55.97,20.1,101.5,1704.65,649
12,0040_01,Europa,FALSE,D/2/P,TRAPPIST-1e,45,FALSE,932,74,,7,1010,Antino Pinoffent,399,374,100672,1285.55,1615,56,20.19,101.49,1635.05,617
